rank,name,score,num,dir,act,type,year,city,qu
1,肖申克的救赎,9.6,1000439人评价,弗兰克·德拉邦特,"主演:,蒂姆·罗宾斯,Tim,Robbins,/...",剧情,1994,美国,希望让人自由。
2,霸王别姬,9.5,727241人评价,陈凯歌,"主演:,张国荣,Leslie,Cheung,/,张丰毅,Fengyi,Zha...",同性,1993,中国大陆,风华绝代。
3,这个杀手不太冷,9.4,942029人评价,吕克·贝松,"主演:,让·雷诺,Jean,Reno,/,娜塔莉·波特曼,...",犯罪,1994,法国,怪蜀黍和小萝莉不得不说的故事。
4,阿甘正传,9.4,801020人评价,Robert,"Tom,Hanks,/,Robin,Wright,Penn,/,Gary,Sinise",爱情,1994,美国,一部美国近现代史。
5,美丽人生,9.5,467901人评价,罗伯托·贝尼尼,"主演:,罗伯托·贝尼尼,Roberto,Beni...",战争,1997,意大利,最美的谎言。
6,千与千寻,9.2,749664人评价,宫崎骏,"主演:,柊瑠美,Rumi,Hîragi,/,入野自由,Miy...",奇幻,2001,日本,最好的宫崎骏，最好的久石让。 
7,泰坦尼克号,9.2,740800人评价,詹姆斯·卡梅隆,"主演:,莱昂纳多·迪卡普里奥,Leonardo...",灾难,1997,美国,失去的才是永恒的。 
8,辛德勒的名单,9.4,426131人评价,史蒂文·斯皮尔伯格,"主演:,连姆·尼森,Liam,Neeson...",战争,1993,美国,拯救一个人，就是拯救整个世界。
9,盗梦空间,9.3,841773人评价,克里斯托弗·诺兰,"主演:,莱昂纳多·迪卡普里奥,Le...",冒险,2010,美国,诺兰给了我们一场无法盗取的梦。
10,机器人总动员,9.3,551987人评价,安德鲁·斯坦顿,"主演:,本·贝尔特,Ben,Burtt,/,艾丽...",冒险,2008,美国,小瓦力，大人生。
11,海上钢琴师,9.2,649938人评价,朱塞佩·托纳多雷,"主演:,蒂姆·罗斯,Tim,Roth,/,...",音乐,1998,意大利,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
12,三傻大闹宝莱坞,9.2,755622人评价,拉库马·希拉尼,"主演:,阿米尔·汗,Aamir,Khan,/,卡...",歌舞,2009,印度,英俊版憨豆，高情商版谢耳朵。
13,忠犬八公的故事,9.2,519870人评价,莱塞·霍尔斯道姆,"主演:,理查·基尔,Richard,Ger...",剧情,2009,美国,永远都不能忘记你所爱的人。
14,放牛班的春天,9.2,505125人评价,克里斯托夫·巴拉蒂,"主演:,杰拉尔·朱诺,Géra...",音乐,2004,法国,天籁一般的童声，是最接近上帝的存在。 
15,大话西游之大圣娶亲,9.2,551870人评价,刘镇伟,"主演:,周星驰,Stephen,Chow,/,吴孟达,Man,Tat,Ng...",冒险,1995,香港,一生所爱。
16,楚门的世界,9.1,522296人评价,彼得·威尔,"主演:,金·凯瑞,Jim,Carrey,/,劳拉·琳妮,Lau...",科幻,1998,美国,如果再也不能见到你，祝你早安，午安，晚安。
17,教父,9.2,379797人评价,弗朗西斯·福特·科波拉,"Coppola,主演:,马龙·白兰度,M...",犯罪,1972,美国,千万不要记恨你的对手，这样会让你失去理智。
18,龙猫,9.1,466079人评价,宫崎骏,"主演:,日高法子,Noriko,Hidaka,/,坂本千夏,Ch...",家庭,1988,日本,人人心中都有个龙猫，童年就永远不会消失。
19,熔炉,9.2,302918人评价,黄东赫,"主演:,孔侑,Yoo,Gong,/,郑有美,Yu-mi,Jeong,...",剧情,2011,韩国,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
20,乱世佳人,9.2,295808人评价,维克多·弗莱明,"/,乔治·库克,George,Cukor,主演:,托...",战争,1939,美国,Tomorrow is another day.
21,星际穿越,9.2,550170人评价,克里斯托弗·诺兰,"主演:,马修·麦康纳,Matthew,Mc...",冒险,2014,美国,爱是一种力量，让我们超越时空感知它的存在。
22,触不可及,9.1,409199人评价,奥利维·那卡什,"/,艾力克·托兰达,Eric,Toledano,主...",喜剧,2011,法国,满满温情的高雅喜剧。
23,无间道,9,450586人评价,刘伟强,"主演:,刘德华,/,梁朝伟,/,黄秋生",悬疑,2002,香港,香港电影史上永不过时的杰作。
24,当幸福来敲门,8.9,597658人评价,加布里尔·穆奇诺,"主演:,威尔·史密斯,Will,Smith,...",家庭,2006,美国,平民励志片。 
25,天堂电影院,9.1,334454人评价,朱塞佩·托纳多雷,"主演:,安东娜拉·塔莉,Antonel...",爱情,1988,意大利,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
26,怦然心动,8.9,622334人评价,罗伯·莱纳,"主演:,玛德琳·卡罗尔,Madeline,Carroll,/,卡...",爱情,2010,美国,真正的幸福是来自内心深处。
27,十二怒汉,9.4,188317人评价,Sidney,"亨利·方达,Henry,Fonda,/,马丁·鲍尔萨姆,Marti...",剧情,1957,美国,1957年的理想主义。 
28,搏击俱乐部,9,430432人评价,大卫·芬奇,"主演:,爱德华·诺顿,Edward,Norton,/,布拉...",惊悚,1999,美国,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
29,少年派的奇幻漂流,9,632801人评价,李安,"主演:,苏拉·沙玛,Suraj,Sharma,/,伊尔凡·可汗,Irrfan...",冒险,2012,美国,瑰丽壮观、无人能及的冒险之旅。
30,鬼子来了,9.2,256026人评价,姜文,"主演:,姜文,Wen,Jiang,/,香川照之,Teruyuki,Kagawa,/...",战争,2000,中国大陆,对敌人的仁慈，就是对自己残忍。
31,指环王3：王者无敌,9.1,310971人评价,彼得·杰克逊,"主演:,维果·莫腾森,Viggo,Mortensen,/,...",冒险,2003,美国,史诗的终章。
32,蝙蝠侠：黑暗骑士,9,361293人评价,克里斯托弗·诺兰,"主演:,克里斯蒂安·贝尔,Christ...",惊悚,2008,美国,无尽的黑暗。
33,活着,9.1,301173人评价,张艺谋,"主演:,葛优,You,Ge,/,巩俐,Li,Gong,/,姜武,Wu,Jiang",家庭,1994,中国大陆,张艺谋最好的电影。
34,天空之城,9,364783人评价,宫崎骏,"主演:,田中真弓,Mayumi,Tanaka,/,横泽启子,Ke...",冒险,1986,日本,对天空的追逐，永不停止。 
35,罗马假日,8.9,420913人评价,威廉·惠勒,"主演:,奥黛丽·赫本,Audrey,Hepburn,/,格...",爱情,1953,美国,爱情哪怕只有一天。
36,大话西游之月光宝盒,8.9,444306人评价,刘镇伟,"主演:,周星驰,Stephen,Chow,/,吴孟达,Man,Tat,Ng...",冒险,1995,香港,旷古烁今。
37,疯狂动物城,9.2,573320人评价,拜伦·霍华德,"/,瑞奇·摩尔,Rich,Moore,主演:,金妮弗·...",冒险,2016,美国,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
38,飞屋环游记,8.9,547351人评价,彼特·道格特,"/,鲍勃·彼德森,Bob,Peterson,主演:,爱德...",冒险,2009,美国,最后那些最无聊的事情，才是最值得怀念的。 
39,窃听风暴,9.1,245890人评价,弗洛里安·亨克尔·冯·多纳斯马,"von,Donnersmarck,...",悬疑,2006,德国,别样人生。
40,两杆大烟枪,9.1,293694人评价,Guy,"Jason,Flemyng,/,Dexter,Fletcher,/,Nick,Moran",犯罪,1998,英国,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
41,飞越疯人院,9,297794人评价,米洛斯·福尔曼,"主演:,杰克·尼科尔森,Jack,Nichols...",剧情,1975,美国,自由万岁。
42,控方证人,9.6,108019人评价,比利·怀尔德,"主演:,查尔斯·劳顿,Charles,Laughton,/,...",悬疑,1957,美国,比利·怀德满分作品。
43,闻香识女人,8.9,353337人评价,马丁·布莱斯,"主演:,阿尔·帕西诺,Al,Pacino,/,克里斯...",剧情,1992,美国,史上最美的探戈。
44,哈尔的移动城堡,8.9,387172人评价,宫崎骏,"主演:,倍赏千惠子,Chieko,Baishô,/,木村拓...",冒险,2004,日本,带着心爱的人在天空飞翔。
45,海豚湾,9.3,194135人评价,Louie,"John,Chisholm,/,Mandy-Rae,Cruikshank,/,Char...",纪录片,2009,美国,海豚的微笑，是世界上最高明的伪装。
46,V字仇杀队,8.8,458022人评价,詹姆斯·麦克特格,"主演:,娜塔莉·波特曼,Natalie,Por...",惊悚,2005,美国,一张面具背后的理想与革命。
47,辩护人,9.1,232733人评价,杨宇硕,"主演:,宋康昊,Kang-ho,Song,/,吴达洙,Dal-su,O...",剧情,2013,韩国,电影的现实意义大过电影本身。
48,死亡诗社,9,304640人评价,彼得·威尔,"主演:,罗宾·威廉姆斯,Robin,Williams,/,罗伯...",剧情,1989,美国,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
49,教父2,9.1,204649人评价,弗朗西斯·福特·科波拉,"Coppola,主演:,阿尔·帕西诺,A...",犯罪,1974,美国,优雅的孤独。
50,美丽心灵,8.9,329864人评价,朗·霍华德,"主演:,罗素·克劳,Russell,Crowe,/,詹妮弗·...",剧情,2001,美国,爱是一切逻辑和原由。
51,指环王2：双塔奇兵,9,292677人评价,彼得·杰克逊,"主演:,伊利亚·伍德,Elijah,Wood,/,西恩...",冒险,2002,美国,承前启后的史诗篇章。
52,指环王1：魔戒再现,8.9,327559人评价,彼得·杰克逊,"主演:,伊利亚·伍德,Elijah,Wood,/,西恩...",冒险,2001,新西兰,传说的开始。
53,情书,8.8,406543人评价,岩井俊二,"主演:,中山美穗,Miho,Nakayama,/,丰川悦司,Ets...",爱情,1995,日本,暗恋的极致。
54,饮食男女,9.1,219670人评价,李安,"主演:,郎雄,Sihung,Lung,/,杨贵媚,Kuei-Mei,Yang,/,吴...",家庭,1994,台湾,人生不能像做菜，把所有的料都准备好了才下锅。
55,美国往事,9.1,189252人评价,赛尔乔·莱翁内,"主演:,罗伯特·德尼罗,Robert,De,Niro,...",剧情,1984,意大利,往事如烟，无处祭奠。
56,狮子王,8.9,305441人评价,Roger,"罗伯·明可夫,Rob,Minkoff,主演:,乔纳森·泰勒·托马...",家庭,1994,美国,动物版《哈姆雷特》。
57,钢琴家,9,217871人评价,罗曼·波兰斯基,"主演:,艾德里安·布洛迪,Adrien,Brod...",战争,2002,法国,音乐能化解仇恨。
58,摔跤吧！爸爸,9.1,505142人评价,涅提·蒂瓦里,"主演:,阿米尔·汗,Aamir,Khan,/,法缇玛...",家庭,2016,印度,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
59,天使爱美丽,8.7,515004人评价,让-皮埃尔·热内,"主演:,奥黛丽·塔图,Audrey,Tau...",爱情,2001,法国,法式小清新。 
60,七宗罪,8.7,464283人评价,大卫·芬奇,"主演:,摩根·弗里曼,Morgan,Freeman,/,布...",惊悚,1995,美国,警察抓小偷，老鼠玩死猫。
61,素媛,9.1,201654人评价,李濬益,"主演:,薛景求,Kyung-gu,Sol,/,严志媛,Ji-won,Uhm,...",剧情,2013,韩国,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
62,被嫌弃的松子的一生,8.9,315489人评价,中岛哲也,"主演:,中谷美纪,Miki,Nakatani,/,瑛太,E...",歌舞,2006,日本,以戏谑来戏谑戏谑。
63,小鞋子,9.2,150960人评价,马基德·马基迪,"主演:,Amir,Farrokh,Hashemian,/,默罕...",儿童,1997,伊朗,奔跑的孩子是天使。
64,致命魔术,8.8,371330人评价,克里斯托弗·诺兰,"主演:,休·杰克曼,Hugh,Jackman...",惊悚,2006,美国,孪生蝙蝠侠大战克隆金刚狼。
65,音乐之声,8.9,248537人评价,Robert,"朱丽·安德鲁斯,Julie,Andrews,/,克里斯托弗·普...",歌舞,1965,美国,用音乐化解仇恨，让歌声串起美好。
66,勇敢的心,8.8,312366人评价,梅尔·吉布森,"主演:,梅尔·吉布森,Mel,Gibson,/,苏菲·玛...",战争,1995,美国,史诗大片的典范。
67,剪刀手爱德华,8.7,517995人评价,Tim,"约翰尼·德普,Johnny,Depp,/,薇诺娜·瑞德,Winona,...",爱情,1990,美国,浪漫忧郁的成人童话。
68,本杰明·巴顿奇事,8.8,420893人评价,大卫·芬奇,"主演:,凯特·布兰切特,Cate,Blanchett,/,...",奇幻,2008,美国,在时间之河里感受溺水之苦。
69,看不见的客人,8.8,365966人评价,奥里奥尔·保罗,"主演:,马里奥·卡萨斯,Mario,Casas,/,阿...",惊悚,2016,西班牙,你以为你以为的就是你以为的。
70,低俗小说,8.8,360222人评价,昆汀·塔伦蒂诺,"主演:,约翰·特拉沃尔塔,John,Tra...",犯罪,1994,美国,故事的高级讲法。
71,西西里的美丽传说,8.7,379579人评价,朱塞佩·托纳多雷,"主演:,莫妮卡·贝鲁奇,Monica,...",情色,2000,意大利,美丽无罪。
72,拯救大兵瑞恩,8.9,258373人评价,史蒂文·斯皮尔伯格,"主演:,汤姆·汉克斯,Tom,Hanks...",战争,1998,美国,美利坚精神输出大片No1.
73,黑客帝国,8.8,302748人评价,安迪·沃卓斯基,"/,拉娜·沃卓斯基,Lana,Wachowski,主...",科幻,1999,美国,视觉革命。
74,沉默的羔羊,8.7,379088人评价,乔纳森·戴米,"主演:,朱迪·福斯特,Jodie,Foster,/,安...",惊悚,1991,美国,安东尼·霍普金斯的顶级表演。
75,入殓师,8.8,335388人评价,泷田洋二郎,"主演:,本木雅弘,Masahiro,Motoki,/,...",剧情,2008,日本,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
76,蝴蝶效应,8.7,409350人评价,埃里克·布雷斯,"/,J·麦基·格鲁伯,J.,Mackye,Gruber,主...",惊悚,2004,美国,人的命运被自己瞬间的抉择改变。
77,让子弹飞,8.7,668310人评价,姜文,"主演:,姜文,Wen,Jiang,/,葛优,You,Ge,/,周润发,Yun-F...",西部,2010,中国大陆,你给我翻译翻译，神马叫做TMD的惊喜。
78,玛丽和马克思,8.9,242841人评价,亚当·艾略特,"主演:,托妮·科莱特,Toni,Collette,/,菲利...",动画,2009,澳大利亚,你是我最好的朋友，你是我唯一的朋友 。
79,春光乍泄,8.8,265829人评价,王家卫,"Wong,主演:,张国荣,Leslie,Cheung,/,梁朝伟,Tony,Leu...",同性,1997,香港,爱情纠缠，男女一致。
80,大闹天宫,9.2,109684人评价,万籁鸣,"/,唐澄,Cheng,Tang,主演:,邱岳峰,Yuefeng,Qiu,/...",奇幻,1961(中国大陆),1964(中国大陆),经典之作，历久弥新。
81,心灵捕手,8.8,291375人评价,格斯·范·桑特,"Sant,主演:,马特·达蒙,Matt,Damon,/,罗宾·...",剧情,1997,美国,人生中应该拥有这样的一段豁然开朗。
82,阳光灿烂的日子,8.8,289150人评价,姜文,"主演:,夏雨,Yu,Xia,/,宁静,Jing,Ning,/,陶虹,Hong,Tao",剧情,1994,中国大陆,一场华丽的意淫。
83,幽灵公主,8.8,251353人评价,宫崎骏,"主演:,松田洋治,Yôji,Matsuda,/,石田百合...",冒险,1997,日本,人与自然的战争史诗。
84,第六感,8.8,249794人评价,M·奈特·沙马兰,"Shyamalan,主演:,布鲁斯·威利斯,Bruce,Wi...",惊悚,1999,美国,深入内心的恐怖，出人意料的结局。
